Algorithm,Dataset,Avg Latency,Max Latency,Energy,Temp,F1,Device
PID Control,Kuala Lumpur,0.20399752798402915,0.21419740438323062,0.8159901119361166,53.56527920895489,0.9698680905685063,Raspberry Pi 4
PID Control,New York,0.20399752798402915,0.21419740438323062,0.8159901119361166,51.06527920895489,0.9698680905685063,Raspberry Pi 4
RBC (Rule-Based),Tokyo,0.034680016093261656,0.03641401689792474,0.13872006437304663,52.01109760514984,0.9999768802565365,Raspberry Pi 4
RBC (Rule-Based),Kuala Lumpur,0.034680016093261656,0.03641401689792474,0.13872006437304663,53.51109760514984,0.9999768802565365,Raspberry Pi 4
RBC (Rule-Based),New York,0.034680016093261656,0.03641401689792474,0.13872006437304663,51.01109760514984,0.9999768802565365,Raspberry Pi 4
DQN,Tokyo,2.630284719843985,2.761798955836184,10.52113887937594,52.84169111035008,0.9882655332431399,Raspberry Pi 4
DQN,Kuala Lumpur,2.630284719843985,2.761798955836184,10.52113887937594,54.34169111035008,0.9882655332431399,Raspberry Pi 4
DQN,New York,2.630284719843985,2.761798955836184,10.52113887937594,51.84169111035008,0.9882655332431399,Raspberry Pi 4
PPO (Standard),Tokyo,0.9510301359205187,0.9985816427165446,3.8041205436820746,52.30432964349457,0.9993661808576533,Raspberry Pi 4
PPO (Standard),Kuala Lumpur,0.9510301359205187,0.9985816427165446,3.8041205436820746,53.80432964349457,0.9993661808576533,Raspberry Pi 4
PPO (Standard),New York,0.9510301359205187,0.9985816427165446,3.8041205436820746,51.30432964349457,0.9993661808576533,Raspberry Pi 4
Hybrid LSTM-PPO,Tokyo,29.62980557581068,31.111295854601213,118.51922230324271,61.481537784259416,0.9804406125493508,Raspberry Pi 4
Hybrid LSTM-PPO,Kuala Lumpur,29.62980557581068,31.111295854601213,118.51922230324271,62.981537784259416,0.9804406125493508,Raspberry Pi 4
Hybrid LSTM-PPO,New York,29.62980557581068,31.111295854601213,118.51922230324271,60.481537784259416,0.9804406125493508,Raspberry Pi 4
PID Control,Tokyo,0.03642812999714806,0.038249536497005465,0.36428129997148057,40.02914250399772,0.9699764434286436,Nvidia Jetson
PID Control,Kuala Lumpur,0.03642812999714806,0.038249536497005465,0.36428129997148057,41.52914250399772,0.9699764434286436,Nvidia Jetson
PID Control,New York,0.03642812999714806,0.038249536497005465,0.36428129997148057,39.02914250399772,0.9699764434286436,Nvidia Jetson
RBC (Rule-Based),Tokyo,0.006192860016653867,0.0065025030174865606,0.061928600166538665,40.00495428801332,0.9999958714351781,Nvidia Jetson
RBC (Rule-Based),Kuala Lumpur,0.006192860016653867,0.0065025030174865606,0.061928600166538665,41.50495428801332,0.9999958714351781,Nvidia Jetson
RBC (Rule-Based),New York,0.006192860016653867,0.0065025030174865606,0.061928600166538665,39.00495428801332,0.9999958714351781,Nvidia Jetson
DQN,Tokyo,0.46969369997214017,0.4931783849707472,4.696936999721402,40.37575495997771,0.9896900506876306,Nvidia Jetson
DQN,Kuala Lumpur,0.46969369997214017,0.4931783849707472,4.696936999721402,41.87575495997771,0.9896900506876306,Nvidia Jetson
DQN,New York,0.46969369997214017,0.4931783849707472,4.696936999721402,39.37575495997771,0.9896900506876306,Nvidia Jetson
PPO (Standard),Tokyo,0.1698268099858069,0.17831815048509725,1.698268099858069,40.135861447988646,0.9998867885355777,Nvidia Jetson
PPO (Standard),Kuala Lumpur,0.1698268099858069,0.17831815048509725,1.698268099858069,41.635861447988646,0.9998867885355777,Nvidia Jetson
PPO (Standard),New York,0.1698268099858069,0.17831815048509725,1.698268099858069,39.135861447988646,0.9998867885355777,Nvidia Jetson
Hybrid LSTM-PPO,Tokyo,5.291036709966193,5.555588545464502,52.910367099661926,44.232829367972954,0.9964788560116367,Nvidia Jetson
Hybrid LSTM-PPO,Kuala Lumpur,5.291036709966193,5.555588545464502,52.910367099661926,45.732829367972954,0.9964788560116367,Nvidia Jetson
Hybrid LSTM-PPO,New York,5.291036709966193,5.555588545464502,52.910367099661926,43.232829367972954,0.9964788560116367,Nvidia Jetson
PID Control,Tokyo,1.821406499857403,1.9124768248502733,0.9107032499287016,28.072856259994296,0.9688228719509538,ESP32-S3
PID Control,Kuala Lumpur,1.821406499857403,1.9124768248502733,0.9107032499287016,29.572856259994296,0.9688228719509538,ESP32-S3
PID Control,New York,1.821406499857403,1.9124768248502733,0.9107032499287016,27.072856259994296,0.9688228719509538,ESP32-S3
RBC (Rule-Based),Tokyo,0.30964300083269336,0.32512515087432803,0.15482150041634668,28.012385720033308,0.9997935926377095,ESP32-S3
RBC (Rule-Based),Kuala Lumpur,0.30964300083269336,0.32512515087432803,0.15482150041634668,29.512385720033308,0.9997935926377095,ESP32-S3
RBC (Rule-Based),New York,0.30964300083269336,0.32512515087432803,0.15482150041634668,27.012385720033308,0.9997935926377095,ESP32-S3
DQN,Tokyo,23.48468499860701,24.65891924853736,11.742342499303504,28.93938739994428,0.974620813831983,ESP32-S3
DQN,Kuala Lumpur,23.48468499860701,24.65891924853736,11.742342499303504,30.43938739994428,0.974620813831983,ESP32-S3
DQN,New York,23.48468499860701,24.65891924853736,11.742342499303504,27.93938739994428,0.974620813831983,ESP32-S3
PPO (Standard),Tokyo,8.491340499290345,8.915907524254862,4.245670249645173,28.339653619971614,0.9943550990005305,ESP32-S3
PPO (Standard),Kuala Lumpur,8.491340499290345,8.915907524254862,4.245670249645173,29.839653619971614,0.9943550990005305,ESP32-S3
