Network,Device,Algorithm,Dataset,Net_Latency,HW_Latency,Total_Latency,Jitter,Throughput,Status
WiFi5,Raspberry Pi 4,DQN,New York,4.77849,2.63028,7.40878,1.53886,0.16832,GOOD
WiFi5,Raspberry Pi 4,DQN,Tokyo,5.15604,2.63028,7.78632,1.52109,0.16832,GOOD
WiFi5,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,4.9501,0.95103,5.90113,1.48152,0.05568,GOOD
WiFi5,Raspberry Pi 4,PPO (Standard),New York,4.97143,0.95103,5.92246,1.54545,0.01472,GOOD
WiFi5,Raspberry Pi 4,PPO (Standard),Tokyo,5.23766,0.95103,6.18869,1.5372,0.01472,GOOD
WiFi5,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,5.10104,29.6298,34.7308,1.48656,0.7008,GOOD
WiFi5,Raspberry Pi 4,Hybrid LSTM-PPO,New York,5.02262,29.6298,34.6524,1.49398,0.65984,GOOD
WiFi5,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,5.19584,29.6298,34.8256,1.45464,0.65984,GOOD
WiFi5,Nvidia Jetson,PID Control,Kuala Lumpur,4.92692,0.0364281,4.96335,1.50273,0.06592,GOOD
WiFi5,Nvidia Jetson,PID Control,New York,5.18641,0.0364281,5.22283,1.54132,0.02496,GOOD
WiFi5,Nvidia Jetson,PID Control,Tokyo,4.77631,0.0364281,4.81274,1.53443,0.02496,GOOD
WiFi5,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,4.90729,0.00619286,4.91349,1.43328,0.05568,GOOD
WiFi5,Nvidia Jetson,RBC (Rule-Based),New York,4.99851,0.00619286,5.00471,1.52338,0.01472,GOOD
WiFi5,Nvidia Jetson,RBC (Rule-Based),Tokyo,5.16039,0.00619286,5.16658,1.48254,0.01472,GOOD
WiFi5,Nvidia Jetson,DQN,Kuala Lumpur,5.27695,0.469694,5.74665,1.44951,0.20928,GOOD
WiFi5,Nvidia Jetson,DQN,New York,4.95352,0.469694,5.42321,1.57394,0.16832,GOOD
WiFi5,Nvidia Jetson,DQN,Tokyo,4.94268,0.469694,5.41237,1.56083,0.16832,GOOD
WiFi5,Nvidia Jetson,PPO (Standard),Kuala Lumpur,5.03227,0.169827,5.20209,1.50016,0.05568,GOOD
WiFi5,Nvidia Jetson,PPO (Standard),New York,4.90539,0.169827,5.07521,1.55787,0.01472,GOOD
WiFi5,Nvidia Jetson,PPO (Standard),Tokyo,5.21413,0.169827,5.38396,1.52232,0.01472,GOOD
WiFi5,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,4.85193,5.29104,10.143,1.48267,0.66576,GOOD
WiFi5,Nvidia Jetson,Hybrid LSTM-PPO,New York,5.14735,5.29104,10.4384,1.56045,0.65984,GOOD
WiFi5,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,5.07797,5.29104,10.369,1.44659,0.65984,GOOD
WiFi5,ESP32-S3,PID Control,Kuala Lumpur,5.04677,1.82141,6.86818,1.43492,0.06592,PERFECT
WiFi5,ESP32-S3,PID Control,New York,5.17044,1.82141,6.99184,1.57053,0.02496,PERFECT
WiFi5,ESP32-S3,PID Control,Tokyo,4.76469,1.82141,6.5861,1.42513,0.02496,PERFECT
WiFi5,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,5.1871,0.309643,5.49674,1.57227,0.05568,PERFECT
WiFi5,ESP32-S3,RBC (Rule-Based),New York,4.98868,0.309643,5.29833,1.47156,0.01472,PERFECT
WiFi5,ESP32-S3,RBC (Rule-Based),Tokyo,5.17582,0.309643,5.48547,1.52606,0.01472,PERFECT
WiFi5,ESP32-S3,DQN,Kuala Lumpur,4.81609,23.4847,28.3008,1.5194,0.20928,PERFECT
WiFi5,ESP32-S3,DQN,New York,4.96699,23.4847,28.4517,1.55825,0.16832,PERFECT
WiFi5,ESP32-S3,DQN,Tokyo,4.84629,23.4847,28.331,1.49958,0.16832,PERFECT
WiFi5,ESP32-S3,PPO (Standard),Kuala Lumpur,4.85016,8.49134,13.3415,1.57464,0.05568,PERFECT
WiFi5,ESP32-S3,PPO (Standard),New York,5.10583,8.49134,13.5972,1.47646,0.01472,PERFECT
WiFi5,ESP32-S3,PPO (Standard),Tokyo,5.19008,8.49134,13.6814,1.55294,0.01472,PERFECT
WiFi5,ESP32-S3,Hybrid LSTM-PPO,Kuala Lumpur,5.09198,264.552,269.644,1.55288,0.7008,GOOD
WiFi5,ESP32-S3,Hybrid LSTM-PPO,New York,4.86672,264.552,269.419,1.47211,0.65984,GOOD
WiFi5,ESP32-S3,Hybrid LSTM-PPO,Tokyo,4.85872,264.552,269.411,1.56585,0.65984,GOOD
WiFi6,Laptop (Ryzen 7),PID Control,Kuala Lumpur,2.86798,0.00728563,2.87526,0.78059,0.06592,GOOD
WiFi6,Laptop (Ryzen 7),PID Control,New York,3.08967,0.00728563,3.09696,0.798185,0.02496,GOOD
WiFi6,Laptop (Ryzen 7),PID Control,Tokyo,3.06889,0.00728563,3.07617,0.781099,0.02496,GOOD
WiFi6,Laptop (Ryzen 7),RBC (Rule-Based),Kuala Lumpur,3.0497,0.00123857,3.05094,0.830781,0.05568,GOOD
WiFi6,Laptop (Ryzen 7),RBC (Rule-Based),New York,3.14277,0.00123857,3.14401,0.813199,0.01472,GOOD
WiFi6,Laptop (Ryzen 7),RBC (Rule-Based),Tokyo,2.88026,0.00123857,2.8815,0.792077,0.01472,GOOD
WiFi6,Laptop (Ryzen 7),DQN,Kuala Lumpur,3.08743,0.0939387,3.18137,0.76097,0.20928,GOOD
WiFi6,Laptop (Ryzen 7),DQN,New York,2.99263,0.0939387,3.08657,0.801404,0.16832,GOOD
WiFi6,Laptop (Ryzen 7),DQN,Tokyo,3.06498,0.0939387,3.15892,0.817327,0.16832,GOOD
WiFi6,Laptop (Ryzen 7),PPO (Standard),Kuala Lumpur,2.96092,0.0339654,2.99489,0.803222,0.05568,GOOD
WiFi6,Laptop (Ryzen 7),PPO (Standard),New York,2.92674,0.0339654,2.9607,0.799501,0.01472,GOOD
WiFi6,Laptop (Ryzen 7),PPO (Standard),Tokyo,2.97038,0.0339654,3.00434,0.81561,0.01472,GOOD
WiFi6,Laptop (Ryzen 7),Hybrid LSTM-PPO,Kuala Lumpur,3.07021,1.05821,4.12841,0.795258,0.7008,GOOD
WiFi6,Laptop (Ryzen 7),Hybrid LSTM-PPO,New York,3.15199,1.05821,4.21019,0.823399,0.65984,GOOD
WiFi6,Laptop (Ryzen 7),Hybrid LSTM-PPO,Tokyo,2.92748,1.05821,3.98569,0.836873,0.65984,GOOD
WiFi6,Raspberry Pi 5,PID Control,Kuala Lumpur,3.11368,0.0874275,3.2011,0.812721,0.06592,GOOD
WiFi6,Raspberry Pi 5,PID Control,New York,3.05144,0.0874275,3.13887,0.767156,0.02496,GOOD
WiFi6,Raspberry Pi 5,PID Control,Tokyo,2.96034,0.0874275,3.04776,0.765121,0.02496,GOOD
WiFi6,Raspberry Pi 5,RBC (Rule-Based),Kuala Lumpur,3.04532,0.0148629,3.06018,0.790003,0.05568,GOOD
WiFi6,Raspberry Pi 5,RBC (Rule-Based),New York,2.98592,0.0148629,3.00078,0.829872,0.01472,GOOD
WiFi6,Raspberry Pi 5,RBC (Rule-Based),Tokyo,2.95992,0.0148629,2.97478,0.790174,0.01472,GOOD
WiFi6,Raspberry Pi 5,DQN,Kuala Lumpur,3.03347,1.12726,4.16074,0.82102,0.20928,GOOD
WiFi6,Raspberry Pi 5,DQN,New York,2.98481,1.12726,4.11207,0.785628,0.16832,GOOD
WiFi6,Raspberry Pi 5,DQN,Tokyo,2.9608,1.12726,4.08806,0.765575,0.16832,GOOD
WiFi6,Raspberry Pi 5,PPO (Standard),Kuala Lumpur,3.0837,0.407584,3.49129,0.78625,0.05568,GOOD
WiFi6,Raspberry Pi 5,PPO (Standard),New York,3.00889,0.407584,3.41648,0.767597,0.01472,GOOD
WiFi6,Raspberry Pi 5,PPO (Standard),Tokyo,2.89254,0.407584,3.30012,0.833474,0.01472,GOOD
WiFi6,Raspberry Pi 5,Hybrid LSTM-PPO,Kuala Lumpur,2.96423,12.6985,15.6627,0.827011,0.7008,GOOD
WiFi6,Raspberry Pi 5,Hybrid LSTM-PPO,New York,2.88611,12.6985,15.5846,0.761448,0.65984,GOOD
WiFi6,Raspberry Pi 5,Hybrid LSTM-PPO,Tokyo,2.97007,12.6985,15.6686,0.795252,0.65984,GOOD
WiFi6,Raspberry Pi 4,PID Control,Kuala Lumpur,3.04119,0.203998,3.24519,0.827733,0.06592,GOOD
WiFi6,Raspberry Pi 4,PID Control,New York,3.03304,0.203998,3.23704,0.79479,0.02496,GOOD
WiFi6,Raspberry Pi 4,PID Control,Tokyo,2.85171,0.203998,3.0557,0.78921,0.02496,GOOD
WiFi6,Raspberry Pi 4,RBC (Rule-Based),Kuala Lumpur,3.04504,0.03468,3.07972,0.811622,0.05568,GOOD
WiFi6,Raspberry Pi 4,RBC (Rule-Based),New York,2.90298,0.03468,2.93766,0.838494,0.01472,GOOD
WiFi6,Raspberry Pi 4,RBC (Rule-Based),Tokyo,3.01667,0.03468,3.05135,0.823539,0.01472,GOOD
WiFi6,Raspberry Pi 4,DQN,Kuala Lumpur,2.91019,2.63028,5.54047,0.825292,0.20928,GOOD
WiFi6,Raspberry Pi 4,DQN,New York,3.1334,2.63028,5.76369,0.772698,0.16832,GOOD
WiFi6,Raspberry Pi 4,DQN,Tokyo,2.91512,2.63028,5.54541,0.804225,0.16832,GOOD
WiFi6,Raspberry Pi 4,PPO (Standard),Kuala Lumpur,3.02932,0.95103,3.98035,0.80371,0.05568,GOOD
WiFi6,Raspberry Pi 4,PPO (Standard),New York,3.13328,0.95103,4.08431,0.798189,0.01472,GOOD
WiFi6,Raspberry Pi 4,PPO (Standard),Tokyo,3.02408,0.95103,3.97511,0.837471,0.01472,GOOD
WiFi6,Raspberry Pi 4,Hybrid LSTM-PPO,Kuala Lumpur,3.09018,29.6298,32.72,0.771638,0.7008,GOOD
WiFi6,Raspberry Pi 4,Hybrid LSTM-PPO,New York,3.13996,29.6298,32.7698,0.797738,0.65984,GOOD
WiFi6,Raspberry Pi 4,Hybrid LSTM-PPO,Tokyo,3.16983,29.6298,32.7996,0.775032,0.65984,GOOD
WiFi6,Nvidia Jetson,PID Control,Kuala Lumpur,2.94578,0.0364281,2.98221,0.808759,0.06592,GOOD
WiFi6,Nvidia Jetson,PID Control,New York,2.91782,0.0364281,2.95425,0.821582,0.02496,GOOD
WiFi6,Nvidia Jetson,PID Control,Tokyo,2.94457,0.0364281,2.981,0.829457,0.02496,GOOD
WiFi6,Nvidia Jetson,RBC (Rule-Based),Kuala Lumpur,2.8798,0.00619286,2.88599,0.815962,0.05568,GOOD
WiFi6,Nvidia Jetson,RBC (Rule-Based),New York,3.09053,0.00619286,3.09672,0.800444,0.01472,GOOD
WiFi6,Nvidia Jetson,RBC (Rule-Based),Tokyo,2.93569,0.00619286,2.94188,0.805405,0.01472,GOOD
WiFi6,Nvidia Jetson,DQN,Kuala Lumpur,2.87342,0.469694,3.34311,0.827385,0.20928,GOOD
WiFi6,Nvidia Jetson,DQN,New York,2.99945,0.469694,3.46914,0.829967,0.16832,GOOD
WiFi6,Nvidia Jetson,DQN,Tokyo,3.04975,0.469694,3.51945,0.778711,0.16832,GOOD
WiFi6,Nvidia Jetson,PPO (Standard),Kuala Lumpur,3.07116,0.169827,3.24099,0.835332,0.05568,GOOD
WiFi6,Nvidia Jetson,PPO (Standard),New York,2.87753,0.169827,3.04736,0.821515,0.01472,GOOD
WiFi6,Nvidia Jetson,PPO (Standard),Tokyo,3.10151,0.169827,3.27134,0.765298,0.01472,GOOD
WiFi6,Nvidia Jetson,Hybrid LSTM-PPO,Kuala Lumpur,3.04831,5.29104,8.33935,0.779434,0.7008,GOOD
WiFi6,Nvidia Jetson,Hybrid LSTM-PPO,New York,2.93818,5.29104,8.22922,0.80693,0.65984,GOOD
WiFi6,Nvidia Jetson,Hybrid LSTM-PPO,Tokyo,2.9951,5.29104,8.28614,0.776086,0.65984,GOOD
WiFi6,ESP32-S3,PID Control,Kuala Lumpur,2.95599,1.82141,4.77739,0.806452,0.06592,PERFECT
WiFi6,ESP32-S3,PID Control,New York,3.02925,1.82141,4.85065,0.788047,0.02496,PERFECT
WiFi6,ESP32-S3,PID Control,Tokyo,3.08648,1.82141,4.90788,0.816241,0.02496,PERFECT
WiFi6,ESP32-S3,RBC (Rule-Based),Kuala Lumpur,3.09982,0.309643,3.40947,0.796518,0.05568,PERFECT
WiFi6,ESP32-S3,RBC (Rule-Based),New York,3.09665,0.309643,3.40629,0.819003,0.01472,PERFECT
WiFi6,ESP32-S3,RBC (Rule-Based),Tokyo,2.98702,0.309643,3.29667,0.796183,0.01472,PERFECT
WiFi6,ESP32-S3,DQN,Kuala Lumpur,2.86476,23.4847,26.3494,0.839738,0.20928,PERFECT
WiFi6,ESP32-S3,DQN,New York,3.11583,23.4847,26.6005,0.780971,0.16832,PERFECT
WiFi6,ESP32-S3,DQN,Tokyo,2.9377,23.4847,26.4224,0.823689,0.16832,PERFECT
WiFi6,ESP32-S3,PPO (Standard),Kuala Lumpur,2.92832,8.49134,11.4197,0.802611,0.05568,PERFECT
WiFi6,ESP32-S3,PPO (Standard),New York,2.93861,8.49134,11.4299,0.773563,0.01472,PERFECT
